Num_dep;Nom;Productible;Coef
13;Bouches-du-Rh�ne;1560,148653;1,310
83;Var;1554,55587;1,305
84;Vaucluse;1543,370304;1,296
06;Alpes-Maritimes;1515,406389;1,272
34;H�rault;1498,62804;1,258
30;Gard;1498,62804;1,258
04;Alpes-de-Haute-Provence;1493,035257;1,254
20;Corse;1470,664125;1,235
05;Hautes-Alpes;1437,107427;1,207
66;Pyr�n�es-Orientales;1425,921861;1,197
07;Ard�che;1420,329078;1,193
26;Dr�me;1409,143512;1,183
82;Tarn-et-Garonne;1342,030116;1,127
81;Tarn;1336,437333;1,122
12;Aveyron;1336,437333;1,122
11;Aude;1330,84455;1,117
15;Cantal;1319,658984;1,108
32;Gers;1314,066201;1,103
17;Charente-Maritime;1314,066201;1,103
46;Lot;1314,066201;1,103
48;Loz�re;1302,880635;1,094
38;Is�re;1302,880635;1,094
31;Haute-Garonne;1297,287852;1,089
42;Loire;1297,287852;1,089
33;Gironde;1291,695069;1,085
19;Corr�ze;1286,102286;1,080
24;Dordogne;1280,509503;1,075
47;Lot-et-Garonne;1280,509503;1,075
73;Savoie;1280,509503;1,075
16;Charente;1274,91672;1,070
65;Hautes-Pyr�n�es;1274,91672;1,070
79;Deux-S�vres;1269,323937;1,066
69;Rh�ne;1269,323937;1,066
01;Ain;1269,323937;1,066
74;Haute-Savoie;1258,138371;1,056
09;Ari�ge;1258,138371;1,056
63;Puy-de-D�me;1258,138371;1,056
39;Jura;1258,138371;1,056
43;Haute-Loire;1258,138371;1,056
64;Pyr�n�es-Atlantiques;1252,545588;1,052
86;Vienne;1246,952805;1,047
91;Essonne;1246,952805;1,047
87;Haute-Vienne;1246,952805;1,047
03;Allier;1246,952805;1,047
40;Landes;1246,952805;1,047
71;Sa�ne-et-Loire;1241,360022;1,042
36;Indre;1241,360022;1,042
37;Indre-et-Loire;1224,581673;1,028
25;Doubs;1224,581673;1,028
92;Hauts-de-Seine;1224,581673;1,028
21;C�te-d�Or;1224,581673;1,028
18;Cher;1224,581673;1,028
94;Val-de-Marne;1218,98889;1,023
10;Aube;1218,98889;1,023
58;Ni�vre;1213,396107;1,019
89;Yonne;1213,396107;1,019
85;Vend�e;1213,396107;1,019
88;Vosges;1207,803324;1,014
70;Haute-Sa�ne;1207,803324;1,014
41;Loir-et-Cher;1207,803324;1,014
56;Morbihan;1207,803324;1,014
62;Pas-de-Calais;1207,803324;1,014
23;Creuse;1207,803324;1,014
77;Seine-et-Marne;1202,210541;1,009
72;Sarthe;1202,210541;1,009
90;Territoire de Belfort;1202,210541;1,009
68;Haut-Rhin;1202,210541;1,009
95;Val-d�Oise;1202,210541;1,009
45;Loiret;1196,617758;1,005
51;Marne;1196,617758;1,005
93;Seine-Saint-Denis;1196,617758;1,005
28;Eure-et-Loir;1191,024975;1,000
49;Maine-et-Loire;1191,024975;1,000
44;Loire-Atlantique;1191,024975;1,000
27;Eure;1191,024975;1,000
52;Haute-Marne;1191,024975;1,000
55;Meuse;1185,432192;0,995
78;Yvelines;1179,839409;0,991
54;Meurthe-et-Moselle;1174,246626;0,986
67;Bas-Rhin;1174,246626;0,986
75;Paris;1168,653843;0,981
53;Mayenne;1168,653843;0,981
35;Ille-et-Vilaine;1168,653843;0,981
80;Somme;1168,653843;0,981
14;Calvados;1168,653843;0,981
60;Oise;1168,653843;0,981
59;Nord;1168,653843;0,981
61;Orne;1168,653843;0,981
02;Aisne;1163,06106;0,977
57;Moselle;1163,06106;0,977
76;Seine-Maritime;1135,097145;0,953
22;C�tes-d�Armor;1129,504362;0,948
29;Finist�re;1123,911579;0,944
50;Manche;1112,726013;0,934
08;Ardennes;1107,13323;0,930
